,Tm,W,L,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
0,Washington Redskins,14,2,.875,485,224,261,16.3,0.3,16.6,11.7,4.9
1,Dallas Cowboys,11,5,.688,342,310,32,2.0,2.4,4.4,3.7,0.8
2,Philadelphia Eagles,10,6,.625,285,244,41,2.6,2.1,4.7,-0.3,5.0
3,New York Giants,8,8,.500,281,297,-16,-1.0,2.0,1.0,-0.6,1.5
4,Phoenix Cardinals,4,12,.250,196,344,-148,-9.3,3.8,-5.4,-4.9,-0.5
5,Detroit Lions,12,4,.750,339,295,44,2.8,-1.8,1.0,0.9,0.0
6,Chicago Bears,11,5,.688,299,269,30,1.9,-1.0,0.8,-1.2,2.0
7,Minnesota Vikings,8,8,.500,301,306,-5,-0.3,-1.7,-2.0,-0.2,-1.8
8,Green Bay Packers,4,12,.250,273,313,-40,-2.5,-2.3,-4.8,-3.3,-1.4
9,Tampa Bay Buccaneers,3,13,.188,199,365,-166,-10.4,-0.8,-11.1,-7.0,-4.2
10,New Orleans Saints,11,5,.688,341,211,130,8.1,0.9,9.0,2.8,6.3
11,Atlanta Falcons,10,6,.625,361,338,23,1.4,2.0,3.4,4.7,-1.3
12,San Francisco 49ers,10,6,.625,393,239,154,9.6,1.2,10.9,6.6,4.3
13,Los Angeles Rams,3,13,.188,234,390,-156,-9.8,3.7,-6.0,-2.6,-3.4
14,Buffalo Bills,13,3,.813,458,318,140,8.8,-5.2,3.6,7.6,-4.1
15,New York Jets,8,8,.500,314,293,21,1.3,-3.8,-2.4,-1.2,-1.2
16,Miami Dolphins,8,8,.500,343,349,-6,-0.4,-3.7,-4.1,0.7,-4.8
17,New England Patriots,6,10,.375,211,305,-94,-5.9,-2.8,-8.7,-7.9,-0.8
18,Indianapolis Colts,1,15,.063,143,381,-238,-14.9,-2.4,-17.3,-11.5,-5.7
19,Houston Oilers,11,5,.688,386,251,135,8.4,-0.1,8.4,4.9,3.4
20,Pittsburgh Steelers,7,9,.438,292,344,-52,-3.3,0.3,-2.9,-0.8,-2.2
21,Cleveland Browns,6,10,.375,293,298,-5,-0.3,0.0,-0.4,-0.7,0.4
22,Cincinnati Bengals,3,13,.188,263,435,-172,-10.8,2.1,-8.7,-1.8,-6.9
23,Denver Broncos,12,4,.750,304,235,69,4.3,-0.9,3.4,0.3,3.1
24,Kansas City Chiefs,10,6,.625,322,252,70,4.4,2.0,6.4,1.8,4.5
25,Los Angeles Raiders,9,7,.563,298,297,1,0.1,1.3,1.4,0.3,1.1
26,Seattle Seahawks,7,9,.438,276,261,15,0.9,0.2,1.2,-1.5,2.7
27,San Diego Chargers,4,12,.250,274,342,-68,-4.3,2.0,-2.2,-0.6,-1.7
