,Tm,W,L,T,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
0,Washington Redskins,10,6,0,.625,436,388,48,3.0,0.4,3.4,4.6,-1.2
1,New York Giants,9,7,0,.563,429,344,85,5.3,0.9,6.2,4.0,2.2
2,Dallas Cowboys,8,8,0,.500,376,400,-24,-1.5,1.8,0.3,1.4,-1.2
3,Philadelphia Eagles,4,12,0,.250,280,444,-164,-10.3,1.4,-8.9,-5.3,-3.6
4,Green Bay Packers,11,5,0,.688,433,336,97,6.1,1.2,7.3,4.9,2.4
5,Minnesota Vikings,10,6,0,.625,379,348,31,1.9,1.4,3.4,1.6,1.8
6,Chicago Bears,10,6,0,.625,375,277,98,6.1,0.8,6.9,1.0,6.0
7,Detroit Lions,4,12,0,.250,372,437,-65,-4.1,1.8,-2.3,2.1,-4.4
8,Atlanta Falcons,13,3,0,.813,419,299,120,7.5,-1.1,6.4,2.0,4.5
9,Carolina Panthers,7,9,0,.438,357,363,-6,-0.4,1.2,0.8,-0.5,1.3
10,New Orleans Saints,7,9,0,.438,461,454,7,0.4,1.0,1.4,6.5,-5.1
11,Tampa Bay Buccaneers,7,9,0,.438,389,394,-5,-0.3,0.3,0.0,1.3,-1.3
12,San Francisco 49ers,11,4,1,.719,397,273,124,7.8,2.5,10.2,3.5,6.7
13,Seattle Seahawks,11,5,0,.688,412,245,167,10.4,1.8,12.2,4.5,7.7
14,St. Louis Rams,7,8,1,.469,299,348,-49,-3.1,3.4,0.4,-2.1,2.4
15,Arizona Cardinals,5,11,0,.313,250,357,-107,-6.7,3.5,-3.2,-4.8,1.6
16,New England Patriots,12,4,0,.750,557,331,226,14.1,-1.4,12.8,12.2,0.5
17,Miami Dolphins,7,9,0,.438,288,317,-29,-1.8,-0.8,-2.6,-5.5,2.9
18,New York Jets,6,10,0,.375,281,375,-94,-5.9,0.0,-5.9,-5.1,-0.9
19,Buffalo Bills,6,10,0,.375,344,435,-91,-5.7,-1.0,-6.7,-0.9,-5.8
20,Baltimore Ravens,10,6,0,.625,398,344,54,3.4,-0.5,2.9,1.9,1.0
21,Cincinnati Bengals,10,6,0,.625,391,320,71,4.4,-2.4,2.1,1.2,0.9
22,Pittsburgh Steelers,8,8,0,.500,336,314,22,1.4,-2.0,-0.7,-2.8,2.1
23,Cleveland Browns,5,11,0,.313,302,368,-66,-4.1,-1.2,-5.3,-4.6,-0.7
24,Houston Texans,12,4,0,.750,416,331,85,5.3,-1.8,3.5,1.8,1.7
25,Indianapolis Colts,11,5,0,.688,357,387,-30,-1.9,-2.8,-4.7,-1.9,-2.8
26,Tennessee Titans,6,10,0,.375,330,471,-141,-8.8,-1.2,-10.0,-2.6,-7.4
27,Jacksonville Jaguars,2,14,0,.125,255,444,-189,-11.8,-1.1,-13.0,-8.1,-4.9
28,Denver Broncos,13,3,0,.813,481,289,192,12.0,-1.9,10.1,6.3,3.8
29,San Diego Chargers,7,9,0,.438,350,350,0,0.0,-2.3,-2.3,-2.0,-0.4
30,Oakland Raiders,4,12,0,.250,290,443,-153,-9.6,-1.3,-10.8,-4.6,-6.2
31,Kansas City Chiefs,2,14,0,.125,211,425,-214,-13.4,-0.6,-14.0,-10.3,-3.7
